ID,year,ttulo_de_inscripcin ,sinopsis ,sinopsis_idioma_original ,idioma,seleccin,duracin ,pas_de_origen ,region,universidad,categora ,gnero,regin,sitio_web ,facebook ,otra_red_social,contacto,trailer ,formato ,relacin_de_aspecto ,color,director ,escritor ,productor ,elenco ,otros_crditos ,,distribuidor ,imagen_principal
1711,2017,Maíra,"Maíra es constantemente perseguida por su compañero de trabajo, Jorge. Mientras él cava alrededor de su vida obsesivamente, extraña algunos misterios que rodean su vida.","Maíra is constantly chased by her coworker, Jorge. While he digs around her life obsessively, he misses some mysteries surrounding her life.",Portuguese,2017,00:17:00,Brasíl,América Latina,Desconocido,,,,,https://www.facebook.com/curtanaoolheagora/,,,,Digital,16:9,Color,"Matheus Borba, Clau Fragelli","Matheus Borba, Sarah Reis",Ana Carolina Coelho,"Jackeline Stefanski, Fabio Gonzales",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/mariae_img_catalog.jpg
1712,2017,Looking Forward,"Hierba verde, viento, insectos, hojas crujientes, brisa suave, grillos y escarabajos. La naturaleza y la soledad llevan al narrador a mirar hacia el pasado y a mirar hacia el futuro con esperanza y optimismo. Íntima y evocadora, esta película utiliza un poema para reflexionar sobre los desafíos y promesas de la vida.","Green grass, wind, insects, rustling leaves, gentle breeze, crickets and beetles. Nature and solitude lead the narrator to look back on the past, and turn towards the future with hope and optimism. Intimate and evocative, this film uses a poem to reflect on life's challenges and promises.",English,2017,00:01:17,India,Asia y Medio Oriente,Srishti School of Art and Design,,,,https://vimeo.com/229976925,https://www.facebook.com/vidhya.prabhu.96/posts/1536504916372765?pnref=story,,,,Digital,16:9,Black & White and Color,Bramha Prabhu,Bramha Prabhu,"Anitha Balachandran, Srishti School of art and design",,,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/looking_forward_img_catalog.jpg
1713,2017,####,#### se realizó en colaboración entre el artista contemporáneo Mark Tholander (1988) y el ex productor de cine Sam Lomberg (1920–2014). Hicieron este video como una reflexión sobre cómo el mundo se ha convertido en una realidad híbrida donde el espacio entre lo físico y lo virtual es fluido. Un cambio de una esfera análoga a una esfera digital. Un cambio que no se puede revertir y que ha cambiado la forma en que percibimos el mundo.,"#### was made in collaboration between contemporary artist Mark Tholander (1988 -), and former film producer Sam Lomberg (1920–2014). They made this video as a reflection on how the world has changed into a hybrid reality where the space between the physical and the virtual is fluid. A change from an analogous sphere to a digital sphere. A change that cannot be reversed and which has changed the way we perceive the world.",English,2017,00:03:55,Dinamarca,Europa,Jutland Art Academy,,,,http://www.marktholander.dk,,,,https://filmfreeway.com/submissions/8000575,Digital,16:9,Color,Mark Tholander,Mark Tholander,Mark Tholander,Sam Lomberg,Sound Production: Mark Tholander,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/#####__img_catalog.jpg
1714,2017,One Of A Kind,"Ciudad de México, 1940. A pesar de la incredulidad de la gente en él, y el rechazo, al haber sido llamado ""Loco"", Guillermo (un joven científico mexicano) crea un nuevo y revolucionario sistema de transmisión electromagnética para televisión en el sótano de su casa.","México City, 1940. Despite peoples´ disbelief in him, and rejection, having been called ""Crazy"", Guillermo (a young mexican scientist), creates a new, revolutionary electromagnetic transmision system for television in the basement of his house.",Spanish,2017,00:13:38,México,América Latina,Universidad del Valle de Atemajac ,,,,http://www.espectromxfilms.com/fuera-de-serie.html,https://www.facebook.com/fueradeserie.corto/,https://twitter.com/espectromxfilms,,https://filmfreeway.com/submissions/8002035,Digital,,,Cristo Fernández,Cristo Fernández,Cristo Fernández,"Cristo Fernández, Chris Watling, Frank Juarez, James Dart, Caleb Mitchell",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/catalog_NEOS_placeholder
1715,2017,The Voyager,"""The Voyager"" es un cortometraje de animación sobre un pianista que vive en una gran metrópolis, que sufre de agorafobia (miedo irracional de abandonar sus hogares / lugares públicos) y se enfrenta a la necesidad de salir, para reponer sus medicamentos. La exposición (idealizada) de este proyecto presenta una actuación musical en vivo de la banda sonora de la película (del director / compositor), en piano, que acompaña a la película. Sin embargo, ya existe una versión de la película con la banda sonora grabada, para los casos en que no es posible la interpretación musical.","""The Voyager"" is an animation short film about a pianist living in a big metropolis, who suffers from agoraphobia (irrational fear of leaving home/public places) and is confronted with a need to go outside, to replenish his medications. This project's (idealized) exhibition features a live musical performance of the film's soundtrack (by the director/composer himself), on piano, accompanying the film. There is, however, a version of the film already with the recorded soundtrack, for cases where musical performance is not possible.
",English,2017,00:04:39,Portugal,Europa,Escuela Superior de Media Artes e Design,,,,,https://www.facebook.com/TheVoyagerShortFilm/,,,https://vimeo.com/223649160,Digital,,,João Gonzalez,João Gonzalez,João Gonzalez,,Animator / Illustrator : João Gonzalez; Soundtrack / Sound Design : João Gonzalez; Live Piano Performance (When it's possible): João Gonzalez; Production: ESMAD / P.PORTO,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/the_voyager_img_catalog.jpg
1716,2017,Maria Adelaide,"María Adelaida, una mujer sencilla del noreste, descubre en la gran ciudad de Río de Janeiro una identidad que permaneció oculta.","Maria Adelaide, a simple woman from the Northeast, discovers in the great city of Rio de Janeiro an identity that remained hidden.",Portuguese,2017,00:15:00,Brasíl,América Latina,Desconocido,,,,,https://www.facebook.com/MariaAdelaideFilme/,,,https://vimeo.com/242138532,Digital,,,Catarina Almeida,Catarina Almeida,,"Kika Farias, Mano Melo, Diego Diener",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/nao_mariae_img_catalog.jpg
1717,2017,clue,"Un asesino, mata a un hombre, durante el asesinato deja una pista en el lugar del asesinato, y trata de recuperar la pista del lugar del asesinato, antes de que llegue al lugar del asesinato donde están los policías.","A killer, kills a man, during the kill he leaves a clue at the murder site, and he tries to recover the clue from the murder site, before he reaches the murder site the cops where already there.",,2017,00:06:21,India,Asia y Medio Oriente,Desconocido,,,,,,,,,Digital,,,R.K.LOGESHWARAN,,R.K.Logeshwaran,,Cinematographer: R.K.Logeshwaran; Editor: Adhiyamaan.V.K.D; Music: Dhinakar Udhaya Sangeedhan,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/CLUE__img_catalog.jpg
1718,2017,Enough,,,English,2017,00:03:51,Estados Unidos,Canadá y Estados Unidos,New York University,,,,,,,,,Digital,,,Dahnyaal Gondal,Haleema Gondal,,,,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/enough_img_catalog.jpg
1719,2017,To the Water that Steams,Un cine-poema experimental inspirado en la muerte de un amigo que fue tomado demasiado pronto.,An experimental cine-poem inspired by the death of a friend who was taken too early.,English,2017,00:05:00,Reino Unido,Europa,University of Gloucestershire,,,,,,,,,Digital,,,Tyler Gordon-Fordyce,,,"Edward Weager, Ben Greedy",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/to_the_water_that_steams_img_catalog.jpg
1720,2017,How Much Land Does a Man Need?,Es una película sobre la ambición de un rico hombre de negocios. El hombre tiene que comprar tierras para construir un pueblo de vacaciones. Y él va a ver al terrateniente. El terrateniente es una mujer mayor y Ella tiene una pequeña condición o juego. Este juego será el final del hombre. Y la mujer espera el próximo con otro bastón.,It's a movie about a rich businessman's ambition. The man has to buy land to build a holiday village. And he goes to see the landholder.The landholder is an old woman and She has a little condition or game. This game will be the end of the man.And woman wait for next with an other walking stick.,Turkish,2017,00:09:24,Turquía,Asia y Medio Oriente,Marmara University,,,,,,,,,Digital,,,Selami Baþaltun,Selami Baþaltun,Selami Baþaltun,"Aysan Sümercan, Sezer Soykök",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/how_much_land_does_a_man_need__img_catalog.jpg
1721,2017,Only Love will Break your Heart,"Al hacer el amor, dos cuerpos se vuelven uno.","When making love, two bodies become one. ",English,2017,00:04:46,Bélgica,Europa,KASK School of the Arts,,,,http://tochwel.tumblr.com,https://www.facebook.com/Tochwel-710582955722102/,,,,Digital,,,Sofie De Cleene,Sofie De Cleene,Sofie De Cleene,,,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/onlylove_img_catalog.jpg
1722,2017,The End ,"Bevardis Graves es un veterano de guerra que sufre un trastorno por estrés postraumático, que intenta hacer una última conquista antes del final.","Bevardis Graves is a war veteran suffering from Post Traumatic Stress Disorder,attempting to make one last conquest before the end.",English,2017,00:06:43,India,Asia y Medio Oriente,MIT Institute of Design,,,,,,,,,Digital,,,Dhruva Prasad Devara ,Dhruva Prasad Devara ,MIT Institute of Design ,,Music: Sagar Saha ; Animation: Dhruva Prasad Devara ,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/the_end_img_catalog.jpg
1723,2017,Dysgeusia,Una niña está tratando de dejar sus recuerdos.,A girl is trying to let go of her memories.,Modern Greek (1453-),2017,00:10:28,Grecia,Europa,Hellenic Television Film School Stavrakos,,,,,,,,https://www.youtube.com/watch?v=pRn-mRdHUck,Digital,,,Yannis Deliveis,Yannis Deliveis,Yannis Deliveis,Kitty Kentezi,,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/catalog_NEOS_placeholder
1724,2017,The Mill of time,"Una imagen que representa el final de una era, el final de los rituales antiguos. Un proceso místico pero, al mismo tiempo, natural entrelazado con una historia de siglos, el paso del tiempo, las edades y las personas.","An image depicting an end of an era, end of ancient rituals. A mystic but, at the same time, natural process intertwined with centuries-long history, passing of time, ages and people.",,2017,00:09:00,Polonia,Europa,National Film School in Lodz,,,,,,,,,Digital,,,Micha? Wojtasik,Micha? Wojtasik,,,"Director of Photography: Micha? Wojtasik; Assistant Director: Kamila Karska, Ernest Lorek; Camera Assistant: Kasper Lorek, Nina Pozna?ska, Roman Savchenko; Artistic Supervision: Stanis?aw Szyma?ski, Piotr Wojtowicz; Production Designer: Sylwia Majer; Costume Desiger: Eryka Jura; Music: ?ukasz Olszówka; Starring: Karol Dewicki, Beata Radzimowska, Joanna Ruci?ska, Adrianna Malecka",,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/in_the_mill_of_time_img_catalog.jpg
